id,name
200cb307-987a-41f8-bb49-ecc2a3ea355e,50PLUS
11918c04-6d90-44fd-8c81-247d4e9c5f4e,BBB
effabee5-322b-409b-8980-9a1e27886e5f,BVNL
0f1f364e-f6d0-4528-b952-c258bccd5919,CDA
e3e311d4-30d0-478d-96f2-df5213db8d19,ChristenUnie
e06a7553-ed53-489d-ab1a-716e6ab98e07,D66
f8b3ee1f-00c3-4764-b972-d8b8c13311ff,DENK
1237e292-d981-4a5d-aec3-3b6d8cc553aa,FvD
f9c67a44-085b-4315-b64c-ffe6fef787c4,GroenLinks
f8967077-e11c-4006-93bb-649b1eab8fee,GroenLinks-PvdA
2c759f54-c072-4ee2-a0bf-1574b5886f40,JA21
5be52477-d105-4d1b-bc22-75ae0d0f6070,Nieuw Sociaal Contract
8023fc29-7ed8-4dfc-b42a-844467fd8a79,PVV
18454ecd-e717-4693-902d-84b23d41255e,Partij voor de Dieren
f4658dfe-fb0b-4b45-9a0b-4292b0dd9da8,PvdA
ecd82565-d5cd-448b-965f-821250cd05f5,SGP
a567e67d-d77d-4d82-9ea7-fd0fefb68af3,SP
5d3ad8a5-b2d2-4b5f-9a4c-1db9839718d2,VVD
c185d0ee-26c5-4100-b97f-eb8cf97d22ca,Volt
